NOMBRE;APELLIDOS;LEGISLATURA;FECHAINICIOLEGISLATURA;FECHAFINLEGISLATURA;LEGISLATURAACTUAL
Francesc;Ricomá de Castellarnau;Leg. IX;01/04/2008;13/12/2011;N
Joan;Ridao i Martín;Leg. IX;01/04/2008;13/12/2011;N
María Zoila;Riera i Ben;Leg. VI;27/03/1996;05/04/2000;N
María Zoila;Riera i Ben;Leg. VII;05/04/2000;02/04/2004;N
Immaculada;Riera i Reñé;Leg. VII;05/04/2000;02/04/2004;N
Inmaculada;Riera i Reñé;Leg. IX;01/04/2008;13/12/2011;N
Inmaculada;Riera i Reñé;Leg. X;13/12/2011;13/01/2016;N
María Teresa;Riera Madurell;Leg. VI;27/03/1996;05/04/2000;N
María Teresa;Riera Madurell;Leg. VII;05/04/2000;02/04/2004;N
Josep María;Riera Mercader;Leg. Const.;14/07/1977;23/03/1979;N
Josep María;Riera Mercader;Leg. I;23/03/1979;18/11/1982;N
Miguel;Riestra Paris;Leg. Const.;14/07/1977;23/03/1979;N
Joan;Rigol Roig;Leg. I;23/03/1979;18/11/1982;N
José María;Rioboo Almanzor;Leg. III;15/07/1986;21/11/1989;N
Carmen;Riolobos Regadera;Leg. XIII;21/05/2019;03/12/2019;N
Carmen;Riolobos Regadera;Leg. XIV;03/12/2019;17/08/2023;N
Pedro Antonio;Ríos Martínez;Leg. IV;21/11/1989;29/06/1993;N
Pedro Antonio;Ríos Martínez;Leg. V;29/06/1993;27/03/1996;N
Pedro Antonio;Ríos Martínez;Leg. VI;27/03/1996;05/04/2000;N
Fernando;Ríos Rull;Leg. IX;01/04/2008;13/12/2011;N
Vicente;Ripa González;Leg. VII;05/04/2000;02/04/2004;N
Vicente;Ripa González;Leg. VIII;02/04/2004;01/04/2008;N
Damián;Ripoll Gálvez;Leg. VII;05/04/2000;02/04/2004;N
Mercé;Rivadulla Gracia;Leg. V;29/06/1993;27/03/1996;N
Mercé;Rivadulla Gracia;Leg. VI;27/03/1996;05/04/2000;N
José;Rivas Fontán;Leg. Const.;14/07/1977;23/03/1979;N
José;Rivas Fontán;Leg. VI;27/03/1996;05/04/2000;N
José;Rivas Fontán;Leg. VII;05/04/2000;02/04/2004;N
Irene;Rivera Andrés;Leg. XI;13/01/2016;19/07/2016;N
Irene;Rivera Andrés;Leg. XII;19/07/2016;21/05/2019;N
Irene;Rivera Andrés;Leg. XIII;21/05/2019;03/12/2019;N
Engracia;Rivera Arias;Leg. XV;17/08/2023;;S
Marta María;Rivera de la Cruz;Leg. XI;13/01/2016;19/07/2016;N
Marta María;Rivera de la Cruz;Leg. XII;19/07/2016;21/05/2019;N
Marta María;Rivera de la Cruz;Leg. XIII;21/05/2019;03/12/2019;N
Marta María;Rivera de la Cruz;Leg. XV;17/08/2023;;S
Albert;Rivera Díaz;Leg. XI;13/01/2016;19/07/2016;N
Albert;Rivera Díaz;Leg. XII;19/07/2016;21/05/2019;N
Albert;Rivera Díaz;Leg. XIII;21/05/2019;03/12/2019;N
Ramiro;Rivera López;Leg. IV;21/11/1989;29/06/1993;N
Gloria Elena;Rivero Alcover;Leg. VIII;02/04/2004;01/04/2008;N
Gloria Elena;Rivero Alcover;Leg. IX;01/04/2008;13/12/2011;N
Paulino;Rivero Baute;Leg. VI;27/03/1996;05/04/2000;N
Paulino;Rivero Baute;Leg. VII;05/04/2000;02/04/2004;N
Paulino;Rivero Baute;Leg. VIII;02/04/2004;01/04/2008;N
Enrique Víctor;Rivero Ortega;Leg. XIII;21/05/2019;03/12/2019;N
Caridad;Rives Arcayna;Leg. XV;17/08/2023;;S
Margarita;Robles Fernández;Leg. XII;19/07/2016;21/05/2019;N
Margarita;Robles Fernández;Leg. XIII;21/05/2019;03/12/2019;N
Margarita;Robles Fernández;Leg. XIV;03/12/2019;17/08/2023;N
Margarita;Robles Fernández;Leg. XV;17/08/2023;;S
José María;Robles Fraga;Leg. V;29/06/1993;27/03/1996;N
José María;Robles Fraga;Leg. VI;27/03/1996;05/04/2000;N
José María;Robles Fraga;Leg. VII;05/04/2000;02/04/2004;N
Joaquín;Robles López;Leg. XIII;21/05/2019;03/12/2019;N
Joaquín;Robles López;Leg. XIV;03/12/2019;17/08/2023;N
Joaquín;Robles López;Leg. XV;17/08/2023;;S
Gonzalo;Robles Orozco;Leg. III;15/07/1986;21/11/1989;N
Gonzalo;Robles Orozco;Leg. IV;21/11/1989;29/06/1993;N
Gonzalo;Robles Orozco;Leg. V;29/06/1993;27/03/1996;N
Gonzalo;Robles Orozco;Leg. VI;27/03/1996;05/04/2000;N
Gonzalo;Robles Orozco;Leg. VII;05/04/2000;02/04/2004;N
Gonzalo;Robles Orozco;Leg. VIII;02/04/2004;01/04/2008;N
Gonzalo;Robles Orozco;Leg. IX;01/04/2008;13/12/2011;N
Gonzalo;Robles Orozco;Leg. X;13/12/2011;13/01/2016;N
Miquel;Roca i Junyent;Leg. Const.;14/07/1977;23/03/1979;N
Miquel;Roca i Junyent;Leg. I;23/03/1979;18/11/1982;N
Miquel;Roca i Junyent;Leg. II;18/11/1982;15/07/1986;N
Miquel;Roca i Junyent;Leg. III;15/07/1986;21/11/1989;N
Miquel;Roca i Junyent;Leg. IV;21/11/1989;29/06/1993;N
Miquel;Roca i Junyent;Leg. V;29/06/1993;27/03/1996;N
Jordi;Roca Mas;Leg. XI;13/01/2016;19/07/2016;N
Jordi;Roca Mas;Leg. XII;19/07/2016;21/05/2019;N
Xavier;Rocha i Rocha;Leg. I;23/03/1979;18/11/1982;N
Manuel de la;Rocha Rubí;Leg. V;29/06/1993;27/03/1996;N
Manuel de la;Rocha Rubí;Leg. IX;01/04/2008;13/12/2011;N
Manuel de la;Rocha Rubí;Leg. X;13/12/2011;13/01/2016;N
Benito;Rodrigo González;Leg. Const.;14/07/1977;23/03/1979;N
José Javier;Rodríguez Alcaide;Leg. Const.;14/07/1977;23/03/1979;N
José Javier;Rodríguez Alcaide;Leg. I;23/03/1979;18/11/1982;N
Andrés Alberto;Rodríguez Almeida;Leg. XIV;03/12/2019;17/08/2023;N
Andrés Alberto;Rodríguez Almeida;Leg. XV;17/08/2023;;S
Miguel Angel;Rodríguez Bajón;Leg. VI;27/03/1996;05/04/2000;N
Mª Teresa;Rodríguez Barahona;Leg. IX;01/04/2008;13/12/2011;N
María Teresa;Rodríguez Barahona;Leg. X;13/12/2011;13/01/2016;N
Tomás;Rodríguez Bolaños;Leg. V;29/06/1993;27/03/1996;N
Tomás;Rodríguez Bolaños;Leg. VI;27/03/1996;05/04/2000;N
Tomás;Rodríguez Bolaños;Leg. VII;05/04/2000;02/04/2004;N
Berta;Rodríguez Callao;Leg. VII;05/04/2000;02/04/2004;N
Patricia;Rodríguez Calleja;Leg. XV;17/08/2023;;S
María Isabel;Rodríguez Calvo;Leg. IV;21/11/1989;29/06/1993;N
María Isabel;Rodríguez Calvo;Leg. V;29/06/1993;27/03/1996;N
Ana Vanessa;Rodríguez Concepción;Leg. X;13/12/2011;13/01/2016;N
Martín;Rodríguez Contreras;Leg. I;23/03/1979;18/11/1982;N
María José;Rodríguez de Millán Parro;Leg. XV;17/08/2023;;S
Inés María;Rodríguez Díaz;Leg. VII;05/04/2000;02/04/2004;N
Eduardo;Rodríguez Espinosa;Leg. IV;21/11/1989;29/06/1993;N
Eduardo;Rodríguez Espinosa;Leg. V;29/06/1993;27/03/1996;N
Eduardo;Rodríguez Espinosa;Leg. VI;27/03/1996;05/04/2000;N
María Luz;Rodríguez Fernández;Leg. XI;13/01/2016;19/07/2016;N
María Carmen;Rodríguez Flores;Leg. X;13/12/2011;13/01/2016;N
Isabel;Rodríguez García;Leg. X;13/12/2011;13/01/2016;N
Isabel;Rodríguez García;Leg. XI;13/01/2016;19/07/2016;N
Isabel;Rodríguez García;Leg. XII;19/07/2016;21/05/2019;N
Isabel;Rodríguez García;Leg. XV;17/08/2023;;S
María del Pilar;Rodríguez Gómez;Leg. XIV;03/12/2019;17/08/2023;N
Mateo José;Rodríguez Gómez;Leg. II;18/11/1982;15/07/1986;N
Alfonso;Rodríguez Gómez de Celis;Leg. XIII;21/05/2019;03/12/2019;N
Alfonso;Rodríguez Gómez de Celis;Leg. XIV;03/12/2019;17/08/2023;N
Alfonso;Rodríguez Gómez de Celis;Leg. XV;17/08/2023;;S
Juana Amalia;Rodríguez Hernández;Leg. XI;13/01/2016;19/07/2016;N
Juana Amalia;Rodríguez Hernández;Leg. XII;19/07/2016;21/05/2019;N
Melisa;Rodríguez Hernández;Leg. XI;13/01/2016;19/07/2016;N
Melisa;Rodríguez Hernández;Leg. XII;19/07/2016;21/05/2019;N
Melisa;Rodríguez Hernández;Leg. XIII;21/05/2019;03/12/2019;N
María Elvira;Rodríguez Herrer;Leg. VIII;02/04/2004;01/04/2008;N
María Elvira;Rodríguez Herrer;Leg. X;13/12/2011;13/01/2016;N
María Elvira;Rodríguez Herrer;Leg. XIV;03/12/2019;17/08/2023;N
Juan Carlos;Rodríguez Ibarra;Leg. Const.;14/07/1977;23/03/1979;N
Juan Carlos;Rodríguez Ibarra;Leg. I;23/03/1979;18/11/1982;N
Juan Carlos;Rodríguez Ibarra;Leg. II;18/11/1982;15/07/1986;N
Mª Dolores;Rodríguez López;Leg. VII;05/04/2000;02/04/2004;N
Mª Dolores;Rodríguez López;Leg. VIII;02/04/2004;01/04/2008;N
Manuel;Rodríguez Maciá;Leg. III;15/07/1986;21/11/1989;N
María del Carmen;Rodríguez Maniega;Leg. IX;01/04/2008;13/12/2011;N
María del Carmen;Rodríguez Maniega;Leg. X;13/12/2011;13/01/2016;N
Juan;Rodríguez Marín;Leg. Const.;14/07/1977;23/03/1979;N
Ángela;Rodríguez Martínez;Leg. XI;13/01/2016;19/07/2016;N
Ángela;Rodríguez Martínez;Leg. XII;19/07/2016;21/05/2019;N
Luis Javier;Rodríguez Moroy;Leg. I;23/03/1979;18/11/1982;N
José Francisco;Rodríguez Núñez;Leg. Const.;14/07/1977;23/03/1979;N
Angustias María;Rodríguez Ortega;Leg. III;15/07/1986;21/11/1989;N
Angustias María;Rodríguez Ortega;Leg. IV;21/11/1989;29/06/1993;N
Angustias María;Rodríguez Ortega;Leg. V;29/06/1993;27/03/1996;N
Javier;Rodríguez Palacios;Leg. XV;17/08/2023;;S
José Luis;Rodríguez Pardo;Leg. I;23/03/1979;18/11/1982;N
María José;Rodríguez Ramírez;Leg. X;13/12/2011;13/01/2016;N
María Soraya;Rodríguez Ramos;Leg. VIII;02/04/2004;01/04/2008;N
María Soraya;Rodríguez Ramos;Leg. IX;01/04/2008;13/12/2011;N
María Soraya;Rodríguez Ramos;Leg. X;13/12/2011;13/01/2016;N
María Soraya;Rodríguez Ramos;Leg. XI;13/01/2016;19/07/2016;N
María Soraya;Rodríguez Ramos;Leg. XII;19/07/2016;21/05/2019;N
Alberto;Rodríguez Rodríguez;Leg. XI;13/01/2016;19/07/2016;N
Alberto;Rodríguez Rodríguez;Leg. XII;19/07/2016;21/05/2019;N
Alberto;Rodríguez Rodríguez;Leg. XIII;21/05/2019;03/12/2019;N
Alberto;Rodríguez Rodríguez;Leg. XIV;03/12/2019;17/08/2023;N
Antonio;Rodríguez Rodríguez;Leg. I;23/03/1979;18/11/1982;N
Antonio;Rodríguez Rodríguez;Leg. II;18/11/1982;15/07/1986;N
Antonio;Rodríguez Rodríguez;Leg. III;15/07/1986;21/11/1989;N
Antonio;Rodríguez Rodríguez;Leg. IV;21/11/1989;29/06/1993;N
Antonio;Rodríguez Rodríguez;Leg. V;29/06/1993;27/03/1996;N
Juan Miguel;Rodríguez Rodríguez;Leg. IV;21/11/1989;29/06/1993;N
Juan Miguel;Rodríguez Rodríguez;Leg. V;29/06/1993;27/03/1996;N
Juan Miguel;Rodríguez Rodríguez;Leg. VI;27/03/1996;05/04/2000;N
Román;Rodríguez Rodríguez;Leg. VIII;02/04/2004;01/04/2008;N
Agustín;Rodríguez Sahagún;Leg. I;23/03/1979;18/11/1982;N
Agustín;Rodríguez Sahagún;Leg. II;18/11/1982;15/07/1986;N
Agustín;Rodríguez Sahagún;Leg. III;15/07/1986;21/11/1989;N
José Antonio;Rodríguez Salas;Leg. XIII;21/05/2019;03/12/2019;N
José Antonio;Rodríguez Salas;Leg. XIV;03/12/2019;17/08/2023;N
José Antonio;Rodríguez Salas;Leg. XV;17/08/2023;;S
Francisco;Rodríguez Sánchez;Leg. VI;27/03/1996;05/04/2000;N
Francisco;Rodríguez Sánchez;Leg. VII;05/04/2000;02/04/2004;N
Francisco;Rodríguez Sánchez;Leg. VIII;02/04/2004;01/04/2008;N
Germán;Rodríguez Sánchez;Leg. X;13/12/2011;13/01/2016;N
Germán;Rodríguez Sánchez;Leg. XI;13/01/2016;19/07/2016;N
María Felicidad;Rodríguez Sánchez;Leg. X;13/12/2011;13/01/2016;N
Santi;Rodríguez Serra;Leg. XV;17/08/2023;;S
Esther;Rodríguez Suárez;Leg. XV;17/08/2023;;S
León Máximo;Rodríguez Valverde;Leg. Const.;14/07/1977;23/03/1979;N
León Máximo;Rodríguez Valverde;Leg. I;23/03/1979;18/11/1982;N
León Máximo;Rodríguez Valverde;Leg. II;18/11/1982;15/07/1986;N
León Máximo;Rodríguez Valverde;Leg. III;15/07/1986;21/11/1989;N
León Máximo;Rodríguez Valverde;Leg. IV;21/11/1989;29/06/1993;N
León Máximo;Rodríguez Valverde;Leg. V;29/06/1993;27/03/1996;N
Antonio;Rodríguez Vázquez;Leg. XI;13/01/2016;19/07/2016;N
María Paloma;Rodríguez Vázquez;Leg. X;13/12/2011;13/01/2016;N
José Luis;Rodríguez Zapatero;Leg. III;15/07/1986;21/11/1989;N
José Luis;Rodríguez Zapatero;Leg. IV;21/11/1989;29/06/1993;N
José Luis;Rodríguez Zapatero;Leg. V;29/06/1993;27/03/1996;N
José Luis;Rodríguez Zapatero;Leg. VI;27/03/1996;05/04/2000;N
José Luis;Rodríguez Zapatero;Leg. VII;05/04/2000;02/04/2004;N
José Luis;Rodríguez Zapatero;Leg. VIII;02/04/2004;01/04/2008;N
José Luis;Rodríguez Zapatero;Leg. IX;01/04/2008;13/12/2011;N
Jaime;Rodríguez-Arana Muñoz;Leg. VI;27/03/1996;05/04/2000;N
Santiago;Rodríguez-Miranda Gómez;Leg. Const.;14/07/1977;23/03/1979;N
Santiago;Rodríguez-Miranda Gómez;Leg. I;23/03/1979;18/11/1982;N
Inmaculada;Rodríguez-Piñero Fernández;Leg. IX;01/04/2008;13/12/2011;N
Inmaculada;Rodríguez-Piñero Fernández;Leg. X;13/12/2011;13/01/2016;N
Rafael;Rodríguez-Ponga Salamanca;Leg. IX;01/04/2008;13/12/2011;N
Rafael;Rodríguez-Ponga Salamanca;Leg. X;13/12/2011;13/01/2016;N
Beatriz;Rodríguez-Salmones Cabeza;Leg. VI;27/03/1996;05/04/2000;N
Beatriz;Rodríguez-Salmones Cabeza;Leg. VII;05/04/2000;02/04/2004;N
Beatriz;Rodríguez-Salmones Cabeza;Leg. VIII;02/04/2004;01/04/2008;N
Beatriz;Rodríguez-Salmones Cabeza;Leg. IX;01/04/2008;13/12/2011;N
Beatriz;Rodríguez-Salmones Cabeza;Leg. X;13/12/2011;13/01/2016;N
María Encarnación;Rogado Hernández;Leg. VII;05/04/2000;02/04/2004;N
Carlos;Rojas García;Leg. XI;13/01/2016;19/07/2016;N
Carlos;Rojas García;Leg. XII;19/07/2016;21/05/2019;N
Carlos;Rojas García;Leg. XIII;21/05/2019;03/12/2019;N
Carlos;Rojas García;Leg. XIV;03/12/2019;17/08/2023;N
Carlos;Rojas García;Leg. XV;17/08/2023;;S
Juan Antonio;Rojas Manrique;Leg. XV;17/08/2023;;S
Alejandro;Rojas Marcos de la Viesca;Leg. I;23/03/1979;18/11/1982;N
Alejandro;Rojas Marcos de la Viesca;Leg. IV;21/11/1989;29/06/1993;N
Alberto;Rojo Blas;Leg. XV;17/08/2023;;S
Francisco Javier;Rojo García;Leg. II;18/11/1982;15/07/1986;N
Francisco Javier;Rojo García;Leg. III;15/07/1986;21/11/1989;N
Francisco Javier;Rojo García;Leg. IV;21/11/1989;29/06/1993;N
Pilar;Rojo Noguera;Leg. XI;13/01/2016;19/07/2016;N
Pilar;Rojo Noguera;Leg. XII;19/07/2016;21/05/2019;N
Antonio;Roldán Monés;Leg. XI;13/01/2016;19/07/2016;N
Antonio;Roldán Monés;Leg. XII;19/07/2016;21/05/2019;N
Antonio;Roldán Monés;Leg. XIII;21/05/2019;03/12/2019;N
María Mercedes;Roldós Caballero;Leg. VIII;02/04/2004;01/04/2008;N
María Inmaculada;Romacho Romero;Leg. V;29/06/1993;27/03/1996;N
Francisco;Román Díaz;Leg. Const.;14/07/1977;23/03/1979;N
Rafael;Román Guerrero;Leg. VIII;02/04/2004;01/04/2008;N
Rafael;Román Guerrero;Leg. IX;01/04/2008;13/12/2011;N
Antonio;Román Jasanada;Leg. VII;05/04/2000;02/04/2004;N
Antonio;Román Jasanada;Leg. X;13/12/2011;13/01/2016;N
Antonio;Román Jasanada;Leg. XV;17/08/2023;;S
José Ignacio;Romaní Cantera;Leg. XII;19/07/2016;21/05/2019;N
José Ignacio;Romaní Cantera;Leg. XIV;03/12/2019;17/08/2023;N
José Ignacio;Romaní Cantera;Leg. XV;17/08/2023;;S
José Manuel;Romay Beccaría;Leg. II;18/11/1982;15/07/1986;N
José Manuel;Romay Beccaría;Leg. III;15/07/1986;21/11/1989;N
José Manuel;Romay Beccaría;Leg. IV;21/11/1989;29/06/1993;N
José Manuel;Romay Beccaría;Leg. VII;05/04/2000;02/04/2004;N
Manuel E.;Romero Castilla;Leg. IV;21/11/1989;29/06/1993;N
Jesús;Romero Fernández;Leg. VI;27/03/1996;05/04/2000;N
Aurelio;Romero Girón;Leg. VII;05/04/2000;02/04/2004;N
Aurelio;Romero Girón;Leg. IX;01/04/2008;13/12/2011;N
Aurelio;Romero Girón;Leg. X;13/12/2011;13/01/2016;N
Joan;Romero González;Leg. II;18/11/1982;15/07/1986;N
Joan;Romero González;Leg. VI;27/03/1996;05/04/2000;N
Carmelo;Romero Hernández;Leg. X;13/12/2011;13/01/2016;N
Carmelo;Romero Hernández;Leg. XI;13/01/2016;19/07/2016;N
Carmelo;Romero Hernández;Leg. XII;19/07/2016;21/05/2019;N
Carmelo;Romero Hernández;Leg. XIV;03/12/2019;17/08/2023;N
José Carlos;Romero Herrera;Leg. III;15/07/1986;21/11/1989;N
José Carlos;Romero Herrera;Leg. IV;21/11/1989;29/06/1993;N
Carmen;Romero López;Leg. IV;21/11/1989;29/06/1993;N
Carmen;Romero López;Leg. V;29/06/1993;27/03/1996;N
Carmen;Romero López;Leg. VI;27/03/1996;05/04/2000;N
Carmen;Romero López;Leg. VII;05/04/2000;02/04/2004;N
María Dolores;Romero Martínez;Leg. V;29/06/1993;27/03/1996;N
Felipe;Romero Morcillo;Leg. Const.;14/07/1977;23/03/1979;N
Rafaela;Romero Pozo;Leg. XV;17/08/2023;;S
María Eugenia;Romero Rodríguez;Leg. X;13/12/2011;13/01/2016;N
María Eugenia;Romero Rodríguez;Leg. XI;13/01/2016;19/07/2016;N
María Eugenia;Romero Rodríguez;Leg. XII;19/07/2016;21/05/2019;N
Antonio;Romero Ruiz;Leg. IV;21/11/1989;29/06/1993;N
Antonio;Romero Ruiz;Leg. V;29/06/1993;27/03/1996;N
Rosa María;Romero Sánchez;Leg. VII;05/04/2000;02/04/2004;N
Rosa María;Romero Sánchez;Leg. X;13/12/2011;13/01/2016;N
Rosa María;Romero Sánchez;Leg. XI;13/01/2016;19/07/2016;N
Rosa María;Romero Sánchez;Leg. XII;19/07/2016;21/05/2019;N
Rosa María;Romero Sánchez;Leg. XIII;21/05/2019;03/12/2019;N
Rosa María;Romero Sánchez;Leg. XIV;03/12/2019;17/08/2023;N
María de los Reyes;Romero Vilches;Leg. XIII;21/05/2019;03/12/2019;N
María de los Reyes;Romero Vilches;Leg. XIV;03/12/2019;17/08/2023;N
María de los Reyes;Romero Vilches;Leg. XV;17/08/2023;;S
Francesc Joaquim;Romeu Martí;Leg. VII;05/04/2000;02/04/2004;N
María del Mar;Rominguera Salazar;Leg. X;13/12/2011;13/01/2016;N
María del Mar;Rominguera Salazar;Leg. XI;13/01/2016;19/07/2016;N
María del Mar;Rominguera Salazar;Leg. XII;19/07/2016;21/05/2019;N
María del Mar;Rominguera Salazar;Leg. XIII;21/05/2019;03/12/2019;N
Victoriano;Roncero Rodríguez;Leg. III;15/07/1986;21/11/1989;N
Victoriano;Roncero Rodríguez;Leg. IV;21/11/1989;29/06/1993;N
Victoriano;Roncero Rodríguez;Leg. V;29/06/1993;27/03/1996;N
Jerónimo;Ros Campillo;Leg. Const.;14/07/1977;23/03/1979;N
José Luis;Ros Maorad;Leg. V;29/06/1993;27/03/1996;N
José Luis;Ros Maorad;Leg. VI;27/03/1996;05/04/2000;N
Susana;Ros Martínez;Leg. IX;01/04/2008;13/12/2011;N
Susana;Ros Martínez;Leg. X;13/12/2011;13/01/2016;N
Susana;Ros Martínez;Leg. XIII;21/05/2019;03/12/2019;N
Susana;Ros Martínez;Leg. XIV;03/12/2019;17/08/2023;N
Susana;Ros Martínez;Leg. XV;17/08/2023;;S
Miguel Ángel de la;Rosa Martín;Leg. VIII;02/04/2004;01/04/2008;N
María Ángeles;Rosado Peinado;Leg. XIII;21/05/2019;03/12/2019;N
María Victoria;Rosell Aguilar;Leg. XI;13/01/2016;19/07/2016;N
María Victoria;Rosell Aguilar;Leg. XIII;21/05/2019;03/12/2019;N
María Victoria;Rosell Aguilar;Leg. XIV;03/12/2019;17/08/2023;N
Jorge;Roselló Bouso;Leg. XIV;03/12/2019;17/08/2023;N
Talía;Roselló Saus;Leg. X;13/12/2011;13/01/2016;N
Agustín;Rosety Fernández de Castro;Leg. XIII;21/05/2019;03/12/2019;N
Agustín;Rosety Fernández de Castro;Leg. XIV;03/12/2019;17/08/2023;N
Marta;Rosique i Saltor;Leg. XIII;21/05/2019;03/12/2019;N
Marta;Rosique i Saltor;Leg. XIV;03/12/2019;17/08/2023;N
Antonio;Rosón Pérez;Leg. Const.;14/07/1977;23/03/1979;N
Juan;Rovira Tarazona;Leg. Const.;14/07/1977;23/03/1979;N
Juan;Rovira Tarazona;Leg. I;23/03/1979;18/11/1982;N
Juan;Rovira Tarazona;Leg. III;15/07/1986;21/11/1989;N
Alejandro;Royo-Villanova Payá;Leg. II;18/11/1982;15/07/1986;N
Javier;Ruano García;Leg. XII;19/07/2016;21/05/2019;N
Juan de Dios;Ruano Gómez;Leg. X;13/12/2011;13/01/2016;N
Xavier;Rubert de Ventós;Leg. II;18/11/1982;15/07/1986;N
Emilio;Rubiales Rojas;Leg. I;23/03/1979;18/11/1982;N
Amparo;Rubiales Torrejón;Leg. V;29/06/1993;27/03/1996;N
Amparo;Rubiales Torrejón;Leg. VI;27/03/1996;05/04/2000;N
Amparo;Rubiales Torrejón;Leg. VII;05/04/2000;02/04/2004;N
María;Rubies Garrofe;Leg. I;23/03/1979;18/11/1982;N
Luisa Fernanda;Rudi Úbeda;Leg. III;15/07/1986;21/11/1989;N
Luisa Fernanda;Rudi Ubeda;Leg. IV;21/11/1989;29/06/1993;N
Luisa Fernanda;Rudi Ubeda;Leg. V;29/06/1993;27/03/1996;N
Luisa Fernanda;Rudi Úbeda;Leg. VII;05/04/2000;02/04/2004;N
Luisa Fernanda;Rudi Úbeda;Leg. VIII;02/04/2004;01/04/2008;N
Luisa Fernanda;Rudi Úbeda;Leg. IX;01/04/2008;13/12/2011;N
Ramón;Rueda Espinar;Leg. IV;21/11/1989;29/06/1993;N
Ramón;Rueda Espinar;Leg. V;29/06/1993;27/03/1996;N
Ramón;Rueda Espinar;Leg. VI;27/03/1996;05/04/2000;N
Patricia;Rueda Perelló;Leg. XIII;21/05/2019;03/12/2019;N
Patricia;Rueda Perelló;Leg. XIV;03/12/2019;17/08/2023;N
Patricia;Rueda Perelló;Leg. XV;17/08/2023;;S
Gabriel;Rufián Romero;Leg. XI;13/01/2016;19/07/2016;N
Gabriel;Rufián Romero;Leg. XII;19/07/2016;21/05/2019;N
Gabriel;Rufián Romero;Leg. XIII;21/05/2019;03/12/2019;N
Gabriel;Rufián Romero;Leg. XIV;03/12/2019;17/08/2023;N
Gabriel;Rufián Romero;Leg. XV;17/08/2023;;S
Juan Carlos;Ruiz Boix;Leg. XV;17/08/2023;;S
Víctor Javier;Ruiz de Diego;Leg. XV;17/08/2023;;S
Iñaki;Ruiz de Pinedo Undiano;Leg. XIII;21/05/2019;03/12/2019;N
Iñaki;Ruiz de Pinedo Undiano;Leg. XIV;03/12/2019;17/08/2023;N
Iñaki;Ruiz de Pinedo Undiano;Leg. XV;17/08/2023;;S
Jesús;Ruiz Fernández;Leg. III;15/07/1986;21/11/1989;N
José María;Ruiz Gallardón;Leg. II;18/11/1982;15/07/1986;N
José María;Ruiz Gallardón;Leg. III;15/07/1986;21/11/1989;N
Joan;Ruiz i Carbonell;Leg. IX;01/04/2008;13/12/2011;N
Joan;Ruiz i Carbonell;Leg. X;13/12/2011;13/01/2016;N
Joan;Ruiz i Carbonell;Leg. XI;13/01/2016;19/07/2016;N
Joan;Ruiz i Carbonell;Leg. XII;19/07/2016;21/05/2019;N
Joan;Ruiz i Carbonell;Leg. XIII;21/05/2019;03/12/2019;N
Joan;Ruiz i Carbonell;Leg. XIV;03/12/2019;17/08/2023;N
Román;Ruiz Llamas;Leg. IX;01/04/2008;13/12/2011;N
Román;Ruiz Llamas;Leg. X;13/12/2011;13/01/2016;N
Antero;Ruiz López;Leg. VII;05/04/2000;02/04/2004;N
Jesús;Ruiz López;Leg. XIV;03/12/2019;17/08/2023;N
Juan Carlos;Ruiz López;Leg. V;29/06/1993;27/03/1996;N
Juan Carlos;Ruiz López;Leg. VI;27/03/1996;05/04/2000;N
Juan Carlos;Ruiz López;Leg. VII;05/04/2000;02/04/2004;N
María Concepción;Ruiz López;Leg. XIII;21/05/2019;03/12/2019;N
Ramiro Felipe;Ruiz Medrano;Leg. IV;21/11/1989;29/06/1993;N
Joaquín;Ruiz Mendoza;Leg. Const.;14/07/1977;23/03/1979;N
Vicente;Ruiz Monrabal;Leg. I;23/03/1979;18/11/1982;N
Eduardo Luis;Ruiz Navarro;Leg. XIV;03/12/2019;17/08/2023;N
José María;Ruiz Povedano;Leg. IV;21/11/1989;29/06/1993;N
Francisco;Ruiz Risueño;Leg. Const.;14/07/1977;23/03/1979;N
José Isidoro;Ruiz Ruiz;Leg. III;15/07/1986;21/11/1989;N
María Jesús;Ruiz Ruiz;Leg. VII;05/04/2000;02/04/2004;N
Lucía Sebastiana;Ruiz Saavedra;Leg. VI;27/03/1996;05/04/2000;N
María de la Cabeza;Ruiz Solás;Leg. XIII;21/05/2019;03/12/2019;N
María de la Cabeza;Ruiz Solás;Leg. XIV;03/12/2019;17/08/2023;N
María de la Cabeza;Ruiz Solás;Leg. XV;17/08/2023;;S
Carlos;Ruiz Soto;Leg. II;18/11/1982;15/07/1986;N
Carlos;Ruiz Soto;Leg. III;15/07/1986;21/11/1989;N
Alberto;Ruiz-Gallardón Jiménez;Leg. X;13/12/2011;13/01/2016;N
José Luis;Ruiz-Navarro Gimeno;Leg. Const.;14/07/1977;23/03/1979;N
José Luis;Ruiz-Navarro Gimeno;Leg. I;23/03/1979;18/11/1982;N
José Luis;Ruiz-Navarro Gimeno;Leg. II;18/11/1982;15/07/1986;N
Ana María;Ruiz-Tagle Morales;Leg. Const.;14/07/1977;23/03/1979;N
Ana María;Ruiz-Tagle Morales;Leg. I;23/03/1979;18/11/1982;N
Josep;Rull Andreu;Leg. XIII;21/05/2019;03/12/2019;N
María Consuelo;Rumí Ibáñez;Leg. VII;05/04/2000;02/04/2004;N
